model,mean,std,min,max
Baseline,30.8333,6.2361,22.5000,37.5000
Baseline+T,43.3333,12.3040,27.5000,57.5000
Baseline+F,85.8333,16.4992,62.5000,97.5000
Baseline+FT,68.3333,21.4411,42.5000,95.0000
Baseline+E,82.5000,12.4164,65.0000,92.5000
Baseline+ET,100.0000,0.0000,100.0000,100.0000
Baseline+EF,85.0000,9.3541,72.5000,95.0000
Baseline+EFT,66.6667,47.1405,0.0000,100.0000
Baseline+G,34.1667,8.2496,22.5000,40.0000
Baseline+GT,32.5000,8.8976,25.0000,45.0000
Baseline+GF,69.1667,21.2459,40.0000,90.0000
Baseline+GFT,90.8333,3.1180,87.5000,95.0000
Baseline+GE,82.5000,12.4164,65.0000,92.5000
Baseline+GET,97.5000,3.5355,92.5000,100.0000
Baseline+GEF,74.1667,36.5339,22.5000,100.0000
Baseline+GEFT (seq2attn),100.0000,0.0000,100.0000,100.0000