epochs	seqacc1	seqacc2	seqacc3	seqacc4	seqacc5	average	std	confidence
0	0	0	0	0	0	0	0	0
1	0.125	0	0	0	0	0.025	0.05590169944	0.04899909965
2	0	0.25	0	0	0	0.05	0.1118033989	0.09799819931
3	0	0.125	0.25	0.125	0	0.1	0.1045825033	0.09166892158
4	0.125	0.25	0.25	0	0.125	0.15	0.1045825033	0.09166892158
5	0.125	0.375	0.125	0	0.25	0.175	0.1425219281	0.1249236826
6	0.125	0	0.125	0.25	0.25	0.15	0.1045825033	0.09166892158
7	0.125	0.25	0.125	0.25	0.625	0.275	0.2053959591	0.180034188
8	0.125	0	0.125	0	0.625	0.175	0.2592055169	0.2271994784
9	0	0.125	0	0.125	0.5	0.15	0.2053959591	0.180034188
10	0.25	0.5	0.125	0	0.5	0.275	0.2236067977	0.1959963986
11	0.25	0.5	0	0.125	0.5	0.275	0.2236067977	0.1959963986
12	0.375	0.625	0.125	0.125	0.5	0.35	0.2236067977	0.1959963986
13	0.5	0.625	0	0.25	0.625	0.4	0.2709935424	0.2375319484
14	0.375	0.625	0.125	0.375	0.625	0.425	0.2091650066	0.1833378432
15	0.5	0.625	0.125	0.25	0.625	0.425	0.2270737766	0.1990352837
16	0.375	0.625	0.5	0.375	0.625	0.5	0.125	0.1095653177
17	0.5	0.625	0.25	0.375	0.625	0.475	0.1629800601	0.1428556965
18	0.625	0.625	0.375	0.625	0.625	0.575	0.1118033989	0.09799819931
19	0.625	0.625	0.375	0.625	0.625	0.575	0.1118033989	0.09799819931
20	0.625	0.625	0.5	0.625	0.625	0.6	0.05590169944	0.04899909965
21	0.625	0.625	0.5	0.625	0.625	0.6	0.05590169944	0.04899909965
22	0.625	0.625	0.5	0.625	0.625	0.6	0.05590169944	0.04899909965
23	0.625	0.625	0.375	0.625	0.625	0.575	0.1118033989	0.09799819931
24	0.625	0.625	0.375	0.625	0.625	0.575	0.1118033989	0.09799819931
25	0.625	0.625	0.375	0.625	0.625	0.575	0.1118033989	0.09799819931
26	0.625	0.625	0.625	0.625	0.625	0.625	0	0
27	0.625	0.625	0.375	0.625	0.625	0.575	0.1118033989	0.09799819931
28	0.625	0.625	0.375	0.625	0.5	0.55	0.1118033989	0.09799819931
29	0.625	0.625	0.375	0.625	0.5	0.55	0.1118033989	0.09799819931
30	0.625	0.625	0.5	0.625	0.5	0.575	0.06846531969	0.060011396