upper	epochs	4	512
1	5	0.56	0.5
1	6	1	0.91
1	7	1	1
1	8	1	1
1	9	0.93	1
1	10	0.91	1
1	11	1	1
1	12	0.67	1
1	13	0.62	1
1	14	0.75	1
1	15	0.67	1
1	16	0.5	1
1	17	0.56	1
1	18	0.5	0.92
1	19	0.38	0.93
1	20	0.5	1
1	21	0.6	0.94
1	22	0.4	0.92
1	23	0.29	0.93
1	24	0.43	0.92
1	25	0.4	0.92
1	26	0.78	0.92
1	27	0.56	0.83
1	28	0.5	0.93
1	29	0.29	0.94
1	30	0.43	0.91
1	31	0.55	0.9
1	32	0.56	0.93
1	33	0.43	0.88
1	34	0.46	0.94
1	35	0.4	0.92
1	36	0.25	0.8
1	37	0.45	0.92
1	38	0.5	0.88
1	39	0.45	0.82
1	40	0.38	0.94
1	41	0.33	0.92
1	42	0.44	0.75
1	43	0.5	0.93
1	44	0.33	0.87
1	45	0.46	0.91
1	46	0.46	0.92
1	47	0.45	0.83
1	48	0.4	0.81
1	49	0.4	0.85
1	50	0.33	0.79